Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_OM_ExistingBuildings,Chrome 75.0.3770.100,,2019-08-01 12:50:24,2019-08-01 13:18:42,28m - 17.414s,FAILED
,,,,,,
Test Cases/OM_ExistingBuildings/TC_EnhancedRefrigerantManagement,Chrome 75.0.3770.100,,2019-08-01 12:50:25,2019-08-01 13:18:41,28m - 15.996s,FAILED
runWithCucumberRunner(runner_OM_ExistingBuildings.EnhancedRefrigerantManagementTestRunner),Chrome 75.0.3770.100,,2019-08-01 12:50:25,2019-08-01 13:18:41,28m - 15.529s,FAILED
