Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
demo_EEBM,Chrome 75.0.3770.142,,,2019-08-08 15:06:57,2019-08-08 15:07:30,33.142s,FAILED
,,,,,,,
Test Cases/OM_ExistingBuildings/TC_EnergyEfficiencyBestManagementPractices,Chrome 75.0.3770.142,,,2019-08-08 15:06:58,2019-08-08 15:07:27,29.643s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.142,,,2019-08-08 15:06:58,2019-08-08 15:06:58,0.344s,PASSED
runWithCucumberRunner(runner_OM_ExistingBuildings.EnergyEfficiencyBestManagementPractices),Chrome 75.0.3770.142,,,2019-08-08 15:06:58,2019-08-08 15:07:27,29.030s,FAILED
