Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 75.0.3770.142,,,2019-08-06 18:14:38,2019-08-06 18:15:04,26.494s,PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 75.0.3770.142,,,2019-08-06 18:14:39,2019-08-06 18:15:03,23.586s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.142,,,2019-08-06 18:14:39,2019-08-06 18:14:39,0.178s,PASSED
runWithCucumberRunner(common.LoginRunner),Chrome 75.0.3770.142,,,2019-08-06 18:14:40,2019-08-06 18:15:03,23.024s,PASSED
