Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
demo_EEBM,Chrome 75.0.3770.142,,,2019-08-08 16:33:22,2019-08-08 16:37:08,3m - 46.562s,PASSED
,,,,,,,
Test Cases/OM_ExistingBuildings/TC_EnergyEfficiencyBestManagementPractices,Chrome 75.0.3770.142,,,2019-08-08 16:33:22,2019-08-08 16:37:07,3m - 44.663s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.142,,,2019-08-08 16:33:22,2019-08-08 16:33:23,0.202s,PASSED
runWithCucumberRunner(runner_OM_ExistingBuildings.EnergyEfficiencyBestManagementPractices),Chrome 75.0.3770.142,,,2019-08-08 16:33:23,2019-08-08 16:37:07,3m - 44.243s,PASSED
