Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
demo_EEBM,Chrome 75.0.3770.142,,,2019-08-06 15:06:55,2019-08-06 15:18:06,11m - 10.654s,FAILED
,,,,,,,
Test Cases/OM_ExistingBuildings/TC_EnergyEfficiencyBestManagementPractices,Chrome 75.0.3770.142,,,2019-08-06 15:06:56,2019-08-06 15:18:05,11m - 9.490s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.142,,,2019-08-06 15:06:56,2019-08-06 15:06:56,0.445s,PASSED
runWithCucumberRunner(runner_OM_ExistingBuildings.EnergyEfficiencyBestManagementPractices),Chrome 75.0.3770.142,,,2019-08-06 15:06:56,2019-08-06 15:18:05,11m - 8.681s,FAILED
